Trade#,Type,Signal,Date/Time,Price,Contracts,Profit€,Profit%,Cum. Profit€
1,Entry Short,Short,17-05-2021 21:20,2.1682,18,0.63,1.76,0.63
1,Exit Short,Short Exit,17-05-2021 21:35,2.1317,18,0.63,1.76,0.63
2,Entry Long,Long,17-05-2021 22:05,2.1446,18,-0.17,-0.44,0.45
2,Exit Long,Long Exit,17-05-2021 22:10,2.1368,18,-0.17,-0.44,0.45
3,Entry Short,Short,18-05-2021 09:00,2.0309,19,-0.26,-0.52,0.19
3,Exit Short,Short Exit,18-05-2021 09:05,2.0431,19,-0.26,-0.52,0.19
4,Entry Long,Long,18-05-2021 18:40,2.0941,19,0.27,0.69,0.47
4,Exit Long,Long Exit,18-05-2021 19:10,2.1102,19,0.27,0.69,0.47
5,Entry Long,Long,18-05-2021 23:30,2.0065,19,-0.47,-1.22,0.001
5,Exit Long,Long Exit,18-05-2021 23:35,1.9836,19,-0.47,-1.22,0.001
6,Entry Short,Short,19-05-2021 00:40,2.0095,19,0.51,1.48,0.51
6,Exit Short,Short Exit,19-05-2021 01:10,1.9813,19,0.51,1.48,0.51
7,Entry Long,Long,19-05-2021 04:55,2.0299,19,-0.14,-0.37,0.36
7,Exit Long,Long Exit,19-05-2021 05:00,2.024,19,-0.14,-0.37,0.36
8,Entry Long,Long,19-05-2021 07:05,2.0015,19,0.07,0.17,0.43
8,Exit Long,Long Exit,19-05-2021 07:10,2.0066,19,0.07,0.17,0.43
9,Entry Short,Short,19-05-2021 07:55,2.0155,19,0.41,1.22,0.84
9,Exit Short,Short Exit,19-05-2021 08:00,1.9925,19,0.41,1.22,0.84
10,Entry Short,Short,19-05-2021 09:35,2.0038,19,0.28,0.88,1.11
10,Exit Short,Short Exit,19-05-2021 09:45,1.9877,19,0.28,0.88,1.11
11,Entry Long,Long,19-05-2021 12:25,1.8512,21,-0.83,-2.13,0.28
11,Exit Long,Long Exit,19-05-2021 13:05,1.8133,21,-0.83,-2.13,0.28
12,Entry Short,Short,19-05-2021 14:40,1.7143,23,-1.3,-3.14,-1.02
12,Exit Short,Short Exit,19-05-2021 15:10,1.7695,23,-1.3,-3.14,-1.02
13,Entry Short,Short,19-05-2021 15:25,1.7461,22,0.53,1.53,-0.49
13,Exit Short,Short Exit,19-05-2021 15:45,1.7208,22,0.53,1.53,-0.49
